Song Title,Status,YouTube Title,YouTube URL,Added At
Rod Stewart - Let It Snow,,,,
Michael Bublé - It's Beginning to Look a Lot Like Christmas,,,,
Andrea Bocelli - White Christmas (Blanca Navidad) ft. Reba McEntire,,,,
Moderatto - Navidad, Navidad (Rock Versión),,,,
Mijares - Blanca Navidad,,,,
Luis Miguel - El Niño del Tambor,,,,
Rocío Dúrcal - Los Peces en el Río,,,,
Michael Bublé - Jingle Bells (feat. The Puppini Sisters),,,,
Pandora y Flans - Navidad Sin Ti,,,,
Frank Sinatra - Have Yourself a Merry Little Christmas,,,,
André Rieu - Silent Night (Noche de Paz),,,,
Moderatto - Campanas de Navidad (Versión Rock),,,,
Andrea Bocelli - Adeste Fideles (O Come All Ye Faithful),,,,
Luis Miguel - Santa Claus Llegó a la Ciudad,,,,
Mariah Carey - All I Want for Christmas Is You,,,,
Mijares - Ven a Cantar (con Pandora),,,,
Rod Stewart - Winter Wonderland,,,,
José Feliciano - Feliz Navidad,,,,
Michael Bublé - Holly Jolly Christmas,,,,
André Rieu - O Holy Night,,,,
Thalía - Noche de Paz,,,,
Elvis Presley - Blue Christmas,,,,
Juanes - Jingle Bells (Versión en Español),,,,
Michael Bublé & Rod Stewart - Winter Wonderland (Dueto),,,,
Moderatto - Noche de Paz (Rock Versión),,,,
Gloria Estefan - En el Portal de Belén,,,,
Andrea Bocelli - The Lord's Prayer,,,,
Celine Dion - O Holy Night,,,,
Maná - Los Peces en el Río (Versión Acústica),,,,
Luis Miguel - Navidad, Navidad,,,,
Michael Bublé - White Christmas (Dueto con Shania Twain),,,,
André Rieu - Jingle Bells,,,,
Mariah Carey - Silent Night,,,,
Nat King Cole - The Christmas Song,,,,
Alejandro Fernández - Noche de Paz,,,,
Frank Sinatra - Jingle Bells,,,,
Pentatonix - Mary, Did You Know?,,,,
Andrea Bocelli - Angels We Have Heard on High,,,,
Pandora - Campana Sobre Campana,,,,
Mijares - El Niño del Tambor,,,,
John Lennon & Yoko Ono - Happy Xmas (War Is Over),,,,
Miriam Hernández - Blanca Navidad,,,,
André Rieu - Sleigh Ride,,,,
Luis Miguel - Mi Humilde Oración,,,,
Michael Bublé - Feliz Navidad,,,,
Camila Cabello - I'll Be Home for Christmas,,,,
Gloria Estefan - Arre Borriquito,,,,
Paul McCartney - Wonderful Christmastime,,,,
Lucero - Ven a Cantar,,,,
Michael Bublé - Christmas (Baby Please Come Home),,,,
André Rieu - Deck the Halls,,,,
Marco Antonio Solís - Ven a Mi Casa Esta Navidad,,,,
Mariah Carey - Christmas (Baby Please Come Home),,,,
Andrea Bocelli - The First Noel,,,,
José Luis Perales - Canción para la Navidad,,,,
Thalía - Santa Claus Llegó a la Ciudad,,,,
Michael Bublé - Santa Baby,,,,
Luis Miguel - Noche Santa,,,,
Alejandro Sanz - Los Campanilleros,,,,
André Rieu - Ave Maria,,,,
Laura Pausini - Blanca Navidad,,,,
Pentatonix - God Rest Ye Merry Gentlemen,,,,
Michael Bublé - Blue Christmas,,,,
Il Divo - Silent Night (Noche de Paz),,,,
Luis Miguel - Navidad Rock,,,,
Mariah Carey - Joy to the World,,,,
André Rieu - White Christmas,,,,
Celine Dion - Feliz Navidad,,,,
Banda El Recodo - Ven a Mi Casa Esta Navidad,,,,
Rod Stewart - Merry Christmas, Baby,,,,
Alejandro Fernández - Campana Sobre Campana,,,,
Michael Bublé - Let It Snow (En Español),,,,
André Rieu - O Come All Ye Faithful,,,,
Lucero - Adeste Fideles,,,,
Pandora - Noche de Paz,,,,
Andrea Bocelli - What Child Is This,,,,
Luis Miguel - Santa Claus Llego a la Ciudad (Versión Big Band),,,,
Mariah Carey - O Holy Night,,,,
André Rieu - God Rest Ye Merry Gentlemen,,,,
Michael Bublé - Silver Bells,,,,
Il Divo - Ave Maria,,,,
Natalia Lafourcade - Campanas de Navidad,,,,
Thalía - Blanca Navidad,,,,
André Rieu - Hark! The Herald Angels Sing,,,,
Lucero y Mijares - Navidad Rock,,,,
Michael Bublé - Have Yourself a Merry Little Christmas,,,,
Andrea Bocelli - Santa Claus Is Coming to Town,,,,
Luis Miguel - Navidad, Navidad (Versión Mariachi),,,,
André Rieu - Away in a Manger,,,,
Michael Bublé - Frosty the Snowman,,,,
Frank Sinatra - Santa Claus Is Coming to Town,,,,
José Feliciano - El Tamborilero,,,,
Andrea Bocelli - Feliz Navidad,,,,
Pandora y Flans - Blanca Navidad (Versión Coral),,,,
Alejandro Fernández - El Niño del Tambor,,,,
André Rieu - Jingle Bell Rock,,,,
Michael Bublé - White Christmas (Solo),,,,
Rocío Dúrcal - Navidad Blanca,,,,
Mariah Carey - Hark! The Herald Angels Sing,,,,
André Rieu - O Christmas Tree,,,,
